Date,Product,Entity,Campaign Id,Ad Group Id,Keyword Id (Read only),Product Targeting Id (Read only),Keyword Text,Product Targeting Expression,Campaign,Ad Group,Product Name,AG Type,Match Type,Bid,Flag,Flag Type,Flag Text,Reco. Bid,Skip?,Override Bid,Will Set Bid to:,Notes
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,19832472453439,,active laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,253534983584381,,active wear laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,32912106334496,,detergent for athletic clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,137117592596577,,athlete detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,139344200987609,,laundry detergent athletic wear,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,147461179530149,,laundry detergent for gym clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,23158875953107,,stinky laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.11,0101,Stale,Low Data - Raise Bid or Kill,1.17,False,,1.17,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,114848780614188,,laundry stink,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,217805296012202,,gym clothes wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,241307428992408,,stinky detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,43484740611838,,clothing laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,78977843885336,,sports clothes wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,17020760440754,,gym clothes detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,182414367721267,,gym laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,225878330727764,,activewear wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,272418441229119,,runner detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,104515069037138,,sports wear detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,264947710396940,,exercise wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,244768722126479,,active sport detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,141430588090960,,athletic wear detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,259355722028528,,best detergent smell,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,7060823611052,,stinky wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,110398939778021,,gym clothes cleaner,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,97266693110850,,odor removing laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,82654439012339,,laundry soap for workout clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,92038655079433,,dri-fit detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,45280238158821,,fitness detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,155112505310000,,dri-fit laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,137407023815420,,athletic wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,143607666907078,,sports laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,249069455426005,,workout clothing wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,250303195318847,,laundry detergent that removes odors,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,37110067584628,,laundry detergent for fitness,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,132662828889389,,stinky laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.13,0101,Stale,Low Data - Raise Bid or Kill,1.19,False,,1.19,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,101271196783746,,detergent for under armour,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,59977862379747,,sport laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,200100999554157,,athletic wear wash,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,49494862600674,,active clothes detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,255892813219498,,exercise detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,241298918000656,,stinky towels,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,248582544579447,,deodorizer detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.93,0101,Stale,Low Data - Raise Bid or Kill,0.98,False,,0.98,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,96610579432458,,enzyme for clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.99,0101,Stale,Low Data - Raise Bid or Kill,1.04,False,,1.04,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,10646106507689,,enzyme odor remover laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,220185826066196,,odor eliminator laundry detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,134552491509429,,laundry workout clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,225783211997381,,laundry soap athletic,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,84627585736662,,laundry detergent odor removal,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,20864441895900,,enzyme laundry soap,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,266209212728913,,detergent smelly clothes,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,75715436488683,,sweat laundry remover,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.73,0101,Stale,Low Data - Raise Bid or Kill,1.82,False,,1.82,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,241159543533487,,enzyme powder laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,0.93,0101,Stale,Low Data - Raise Bid or Kill,0.98,False,,0.98,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,191746269731608,,exercise clothing detergent,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
Jul-21-2022,Sponsored Brands,Keyword,23896926942109,,46505455892044,,athletic laundry,,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent - SBV - KW - Main Video - KW Broad,Active Detergent,KW Broad,broad,1.53,0101,Stale,Low Data - Raise Bid or Kill,1.61,False,,1.61,
