Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Campaign Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),14 Day Total Orders (#),"14 Day Total Sales ","Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),14 Day Conversion Rate
"Jul 2, 2022",instant pot accessories 8 qt only,1,100.00%,instant pot accessories 8 qt only,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,25,4.0000%,$0.9,$0.9,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",8qt instant pot accessories,1,100.00%,8qt instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,23,8.6957%,$1.66,$0.83,1,$12.95,12.8185%,7.80,50.0000%
"Jul 2, 2022",instapot accessories 6 quart by instant pot,1,85.19%,instapot accessories 6 quart by instant pot,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,23,4.3478%,$0.53,$0.53,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",nonstick cake pan,1,100.00%,nonstick cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,23,4.3478%,$0.58,$0.58,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",3 qt instant pot accessories,1,79.17%,3 qt instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,19,10.5263%,$1.3,$0.65,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",ninja pressure cooker accessories,1,100.00%,ninja pressure cooker accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,19,10.5263%,$1.0,$0.5,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",productos de limpieza para el hogar,1,100.00%,pastillas para limpiar lavadora,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,18,5.5556%,$1.2,$1.2,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",ninja accessories foodi,1,100.00%,ninja accessories foodi,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,17,5.8824%,$0.73,$0.73,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instant pot duo crisp accessories,1,100.00%,instant pot duo crisp accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,13,7.6923%,$0.87,$0.87,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",spring cake pan,1,100.00%,spring cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,13,7.6923%,$1.21,$1.21,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",7 inch springform pan,1,100.00%,7 inch springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,12,8.3333%,$0.73,$0.73,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",small springform pan,1,100.00%,small springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,12,8.3333%,$0.43,$0.43,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",6 in springform pan,1,100.00%,6 springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,11,9.0909%,$0.57,$0.57,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",springform cake pans,1,100.00%,springform cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,11,9.0909%,$0.49,$0.49,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",silicone instant pot accessories,1,100.00%,silicone for instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,10,10.0000%,$0.64,$0.64,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",splash spotless tablets,1,90.91%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,1,10,10.0000%,$1.0,$1.0,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",splash spotless washing machine tablets,1,100.00%,top load washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Top Load,USD,2,10,20.0000%,$2.24,$1.12,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine tablets cleaner,1,100.00%,washing machine tablets cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,10,10.0000%,$1.28,$1.28,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instant pot duo accessories,1,100.00%,instant pot duo accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,9,11.1111%,$0.9,$0.9,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",round cake tins,1,100.00%,round cake tin,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,9,11.1111%,$0.25,$0.25,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",springform pans 4 inch,1,100.00%,springform pan 4 inch,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,9,11.1111%,$0.93,$0.93,1,$18.95,4.9077%,20.38,100.0000%
"Jul 2, 2022",instant pot accessory,1,100.00%,instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,8,12.5000%,$0.94,$0.94,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instant+pot+accessories+6+qt+only,1,100.00%,instant pot accessories 6 qt only,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,8,12.5000%,$0.89,$0.89,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",fresh washer machine cleaner,1,100.00%,fresh washer machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Comp - KW Exact - Comp Terms (2),USD,1,7,14.2857%,$1.55,$1.55,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washer tablets cleaner,1,100.00%,washer tablets cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,7,14.2857%,$2.44,$2.44,1,$14.95,16.3211%,6.13,100.0000%
"Jul 2, 2022",washing machine cleaner top loading,1,100.00%,washing machine cleaner top loading,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,1,6,16.6667%,$1.3,$1.3,1,$14.95,8.6957%,11.50,100.0000%
"Jul 2, 2022",ge washer cleaner,1,100.00%,ge washer cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 2,USD,1,5,20.0000%,$1.45,$1.45,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",high efficiency washer cleaner,1,100.00%,high efficiency washer cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - HE (2),USD,1,5,20.0000%,$1.48,$1.48,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",bake pan round,1,100.00%,bake pan round,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,4,25.0000%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",cheesecake tin,1,100.00%,cheesecake tin,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,4,25.0000%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instant pot 8 quart accessories,1,100.00%,instant pot 8 quart accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,4,25.0000%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instapot duo accessories,1,100.00%,instapot duo accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,4,25.0000%,$0.7,$0.7,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",splash spotless washing machine cleaner tablets,1,100.00%,washing+machine+tablet+cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,4,25.0000%,$1.21,$1.21,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",springform baking pans,1,40.00%,springform baking pans,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,4,25.0000%,$0.71,$0.71,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washer tabs,1,100.00%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,1,4,25.0000%,$0.69,$0.69,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner inside,1,100.00%,washing+machine+inside+cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,4,25.0000%,$1.21,$1.21,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner pods,1,50.00%,washing machine cleaner pods,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,4,25.0000%,$0.92,$0.92,1,$14.95,6.1538%,16.25,100.0000%
"Jul 2, 2022",active washing machine,1,100.00%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,3,33.3333%,$1.85,$1.85,1,$14.95,12.3746%,8.08,100.0000%
"Jul 2, 2022",easy release cake pans,1,100.00%,easy release cake pans,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,3,33.3333%,$0.43,$0.43,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",high efficiency washing machine cleaner,1,100.00%,high efficiency washing machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - HE (2),USD,1,3,33.3333%,$1.05,$1.05,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",instapot accessory air fryer,1,100.00%,instapot accessories air fryer,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,3,33.3333%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washer cleaning tablets for top load,1,100.00%,cleaning+top+load+washer,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Top Load,USD,1,3,33.3333%,$0.4,$0.4,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",accessories for pressure cooker,1,100.00%,accessories for the pressure cooker,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,2,50.0000%,$0.4,$0.4,1,$12.95,3.0888%,32.38,100.0000%
"Jul 2, 2022",affirm for cleaning washer,1,100.00%,cleaning+washer,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,2,50.0000%,$0.65,$0.65,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",clothes washer cleaner and deodorizer top load,1,100.00%,clothes washer cleaner and deodorizer top load,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,1,2,50.0000%,$0.4,$0.4,1,$14.95,2.6756%,37.38,100.0000%
"Jul 2, 2022",instapot 3 quart accessories,1,100.00%,instapot 3 quart accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,2,50.0000%,$0.42,$0.42,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",top load washer machine cleaner,1,100.00%,top load washer machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,1,2,50.0000%,$1.51,$1.51,1,$14.95,10.1003%,9.90,100.0000%
"Jul 2, 2022",top loader washer machine cleaner,1,100.00%,top loader washer machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,1,2,50.0000%,$1.58,$1.58,1,$14.95,10.5686%,9.46,100.0000%
"Jul 2, 2022",washer cleaner tablets front loader,1,100.00%,washer cleaner tablets front loader,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Front Load,USD,1,2,50.0000%,$0.86,$0.86,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washer cleaning,1,100.00%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,1,2,50.0000%,$0.69,$0.69,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner for top load washer,1,100.00%,washing machine cleaner for top load washer,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,2,2,100.0000%,$2.66,$1.33,1,$14.95,17.7926%,5.62,50.0000%
"Jul 2, 2022",washing machine tablet,1,100.00%,washing machine tablets,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,2,50.0000%,$1.66,$1.66,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",accessories to the instant pot,1,100.00%,accessories to instant pot,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,1,100.0000%,$0.47,$0.47,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",act of washing machine cleaner,1,100.00%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,1,100.0000%,$1.85,$1.85,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",best washing machine cleaning tablets,1,100.00%,best washing machine cleaning tablets,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 2,USD,1,1,100.0000%,$0.99,$0.99,1,$14.95,6.6221%,15.10,100.0000%
"Jul 2, 2022",front loading washing machine cleaner,1,100.00%,front loading washing machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Front Load,USD,1,1,100.0000%,$1.37,$1.37,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",packs to clean washing machine,1,100.00%,clean+washing+machine,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,1,100.0000%,$1.21,$1.21,1,$29.9,4.0468%,24.71,100.0000%
"Jul 2, 2022",round cake pan springform,1,100.00%,round cake pan springform,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,1,100.0000%,$0.98,$0.98,1,$20.95,4.6778%,21.38,100.0000%
"Jul 2, 2022",splash washing machine cleaner,1,100.00%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,1,100.0000%,$1.67,$1.67,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",tub cleaner for samsung top loader washer,1,100.00%,top+loader+tub+cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Top Load,USD,1,1,100.0000%,$0.59,$0.59,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine cleaner tablet,1,100.00%,washing machine cleaner tablet,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,1,100.0000%,$0.92,$0.92,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing machine rim cleaner,1,100.00%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,1,100.0000%,$1.85,$1.85,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing tablets laundry,1,100.00%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,1,1,100.0000%,$1.0,$1.0,0,$0.0,,0.00,0.0000%
"Jul 2, 2022",washing washing cleaner,1,100.00%,washing+cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,1,100.0000%,$0.51,$0.51,1,$14.95,3.4114%,29.31,100.0000%
"Jul 3, 2022",instant pot accessories,1,30.25%,instant pot accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,28,2043,1.3705%,$28.39,$1.0139,2,$57.93,49.0074%,2.04,7.1429%
"Jul 3, 2022",washing machine cleaner,2,21.20%,washing machine cleaners,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,18,1321,1.3626%,$52.83,$2.935,7,$119.6,44.1722%,2.26,38.8889%
"Jul 3, 2022",oxiclean,2,17.05%,oxiclean,EXACT,Washing Machine Cleaner - SB - KW - Comp - KW Exact - Comp Terms (2),USD,1,1243,0.0805%,$0.51,$0.51,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",cake pan,3,21.64%,cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,3,640,0.4688%,$1.77,$0.59,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",ninja foodi accessories,1,58.46%,ninja foodi accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,5,539,0.9276%,$3.23,$0.6459999999999999,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",cake pans,2,23.67%,cake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,6,391,1.5345%,$3.54,$0.59,1,$18.95,18.6807%,5.35,16.6667%
"Jul 3, 2022",affresh,1,57.02%,affresh,BROAD,Washing Machine Cleaner - SB - KW - Comp - KW Broad - Comp Terms (2),USD,1,264,0.3788%,$0.79,$0.79,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",active washing machine cleaner,2,30.55%,active washing machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,2,216,0.9259%,$3.24,$1.62,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",instapot accessory,1,71.48%,instapot and accessories,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,6,203,2.9557%,$4.98,$0.83,3,$47.97,10.3815%,9.63,50.0000%
"Jul 3, 2022",springform pan 9 inch nonstick,1,83.06%,springform pan 9 inch nonstick,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - Specific V2,USD,1,201,0.4975%,$0.96,$0.96,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",round cake pans,1,48.87%,round cake pans,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,2,151,1.3245%,$0.84,$0.42,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",springform pan,1,100.00%,springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,146,0.6849%,$0.8,$0.8,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",springform pans,1,53.54%,springform pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,2,121,1.6529%,$0.92,$0.46,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",instant pot accessories 6 qt only,1,58.02%,instant pot accessories 6 qt only,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,2,76,2.6316%,$1.74,$0.87,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",splash spotless washing machine cleaner,2,26.50%,washing machine cleaner,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - Main (2),USD,1,75,1.3333%,$1.54,$1.54,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",washer cleaner tablets,2,27.69%,washer cleaner tablets,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,72,1.3889%,$2.55,$2.55,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",cheesecake pan,2,22.22%,cheesecake pan,EXACT,Cakeware Pans - SB - KW - Store Spotlight - KW Exact - General V2,USD,1,60,1.6667%,$0.69,$0.69,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",washing machine cleaner top load,2,28.21%,washing machine cleaner top load,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Top Load,USD,5,55,9.0909%,$7.31,$1.462,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",instant pot accessories 8 qt only,1,70.42%,instant pot accessories 8 qt only,EXACT,InstaExtras - SB - KW - Store Spotlight - KW Exact - General IP Terms,USD,1,50,2.0000%,$1.2,$1.2,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",splash spotless for washer,3,30.06%,wash machine cleaner tablets for high efficiency,BROAD,Washing Machine Cleaner - SB - KW - Main - KW Broad - HE (2),USD,3,49,6.1224%,$3.0,$1.0,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",wash machine cleaner,2,48.24%,wash machine cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,41,2.4390%,$1.03,$1.03,0,$0.0,,0.00,0.0000%
"Jul 3, 2022",lg washing machine tub cleaner,1,100.00%,lg washing machine tub cleaner,EXACT,Washing Machine Cleaner - SB - KW - Main - KW Exact - Main - Set 1,USD,1,36,2.7778%,$1.69,$1.69,0,$0.0,,0.00,0.0000%
