Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),"7 Day Total Sales ","Total Advertising Cost of Sales (ACOS) ",Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"May 9, 2022","Jun 7, 2022",b002r0dxqe,1,25.21%,"asin=\""B002R0DXQE\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,138,174995,0.0800%,$248.77,$1.8027000000000002,48,$750.62,33.1400%,3.02,34.7800%
"May 9, 2022","Jun 7, 2022",b00757adz8,1,30.51%,"asin=\""B00757ADZ8\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,315,147516,0.2100%,$409.18,$1.2990000000000002,61,$905.72,45.1800%,2.21,19.3700%
"May 9, 2022","Jun 7, 2022",b00132q9m2,2,33.04%,"asin=\""B00132Q9M2\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,101,141148,0.0700%,$110.09,$1.09,16,$233.22,47.2000%,2.12,15.8400%
"May 9, 2022","Jun 7, 2022",b00sxc85iq,1,15.46%,"asin=\""B00SXC85IQ\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,151,131858,0.1100%,$279.73,$1.8525,48,$747.75,37.4100%,2.67,31.7900%
"May 9, 2022","Jun 7, 2022",b09mv5b75y,1,60.35%,*,-,Active Detergent,Active Detergent - SP - Auto - TOS - New,Active Detergent - SP - Auto - TOS - New,USD,7,3851,0.1800%,$1.29,$0.1843,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b09mv5b75y,1,60.35%,*,-,Active Detergent,Active Detergent - SP - Auto - PP - New,Active Detergent - SP - Auto - PP,USD,1,8,12.5000%,$1.38,$1.38,1,$15.95,8.6500%,11.56,100.0000%
"May 9, 2022","Jun 7, 2022",b09mv5b75y,1,60.35%,"asin=\""B09MV5B75Y\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,Dishwasher Cleaner - SP - Prod - Defense - ASIN Def,USD,245,33289,0.7400%,$118.32,$0.4829,102,$1666.8,7.1000%,14.09,41.6300%
"May 9, 2022","Jun 7, 2022",b09mv5b75y,1,60.35%,"asin=\""B09MV5B75Y\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Defense,Washing Machine Cleaner - SP - Prod - Defense - ASIN Def,USD,286,71902,0.4000%,$417.37,$1.4593,164,$2507.19,16.6500%,6.01,57.3400%
"May 9, 2022","Jun 7, 2022",washing machine cleaner,15,1.30%,washing machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,12727,104246,12.2100%,$36134.57,$2.8392,5674,$84777.36,42.6200%,2.35,44.5800%
"May 9, 2022","Jun 7, 2022",b06y4mckfm,1,61.12%,"asin=\""B06Y4MCKFM\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,256,100920,0.2500%,$194.31,$0.759,49,$627.95,30.9400%,3.23,19.1400%
"May 9, 2022","Jun 7, 2022",plant stand indoor,68,0.31%,plant stand indoor,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,52,16314,0.3200%,$14.93,$0.2871,3,$99.8,14.9600%,6.68,5.7700%
"May 9, 2022","Jun 7, 2022",plant stand indoor,68,0.31%,plant stand indoor,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,332,59898,0.5500%,$377.07,$1.1358,22,$1038.7,36.3000%,2.75,6.6300%
"May 9, 2022","Jun 7, 2022",mid century plant stand,1,12.51%,mid century plant stand,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,4,76,5.2600%,$1.2,$0.3,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",mid century plant stand,1,12.51%,mid century plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,135,55639,0.2400%,$211.98,$1.5702,9,$449.4,47.1700%,2.12,6.6700%
"May 9, 2022","Jun 7, 2022",b08p3hf1h7,1,47.86%,"asin=\""B08P3HF1H7\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,119,49760,0.2400%,$160.19,$1.3461,42,$640.95,24.9900%,4.00,35.2900%
"May 9, 2022","Jun 7, 2022",b07wsrn21b,1,63.19%,"asin=\""B07WSRN21B\""",-,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - Prod - Comp,Silicone Egg Bite Molds  - SP - Prod - Comp - ASIN Comp - No Sling 1 Pack,USD,109,49663,0.2200%,$96.93,$0.8893000000000001,23,$554.39,17.4800%,5.72,21.1000%
"May 9, 2022","Jun 7, 2022",b0821l1ydr,1,48.21%,"asin=\""B0821L1YDR\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,122,49002,0.2500%,$84.04,$0.6889,20,$265.0,31.7100%,3.15,16.3900%
"May 9, 2022","Jun 7, 2022",b086mlzw1s,1,91.64%,"asin=\""B086MLZW1S\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,138,48996,0.2800%,$195.63,$1.4176,48,$718.77,27.2200%,3.67,34.7800%
"May 9, 2022","Jun 7, 2022",instant pot lid,1,27.66%,instant pot lids,EXACT,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Exact - Set 1,USD,171,39220,0.4400%,$110.3,$0.645,36,$517.63,21.3100%,4.69,21.0500%
"May 9, 2022","Jun 7, 2022",instant pot lid,1,27.66%,instant pot lid,EXACT,IP Lid,IP Lids 8 QT - SP - KW - Main,IP Lids 8 QT - SP - KW - Main - KW Exact - Set 1,USD,46,6939,0.6600%,$21.79,$0.47369999999999995,2,$27.98,77.8800%,1.28,4.3500%
"May 9, 2022","Jun 7, 2022",b09hxbz2sk,1,71.64%,"asin=\""B09HXBZ2SK\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,61,43298,0.1400%,$82.27,$1.3487,21,$311.36,26.4200%,3.78,34.4300%
"May 9, 2022","Jun 7, 2022",b07m6q5jqh,2,17.65%,"asin=\""B07M6Q5JQH\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,93,41020,0.2300%,$131.42,$1.4131,4,$159.8,82.2400%,1.22,4.3000%
"May 9, 2022","Jun 7, 2022",b07m5b45sv,1,46.82%,"asin=\""B07M5B45SV\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,28,40693,0.0700%,$45.08,$1.61,9,$134.55,33.5000%,2.98,32.1400%
"May 9, 2022","Jun 7, 2022",b08ck5g8np,1,61.83%,"asin=\""B08CK5G8NP\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,100,39618,0.2500%,$69.62,$0.6962,15,$194.25,35.8400%,2.79,15.0000%
"May 9, 2022","Jun 7, 2022",b09qt7xqp9,1,56.89%,*,-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Auto - TOS,Washing Machine Cleaner - SP - Auto - TOS,USD,1,2,50.0000%,$0.16,$0.16,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b09qt7xqp9,1,56.89%,"asin=\""B09QT7XQP9\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,50,34711,0.1400%,$79.72,$1.5944,12,$191.4,41.6500%,2.40,24.0000%
"May 9, 2022","Jun 7, 2022",b000hcbdf2,1,71.82%,"asin=\""B000HCBDF2\""",-,Exp Steamer Basket,Exp Steamer Basket - SP - Prod - Comp,Exp Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct,USD,100,33294,0.3000%,$60.56,$0.6056,17,$243.0,24.9200%,4.01,17.0000%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner,17,0.94%,dishwasher cleaners,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,532,6552,8.1200%,$1075.28,$2.0212,225,$3598.53,29.8800%,3.35,42.2900%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner,17,0.94%,dishwasher cleaner,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,1767,26523,6.6600%,$4478.76,$2.5347,879,$14035.0,31.9100%,3.13,49.7500%
"May 9, 2022","Jun 7, 2022",b010ovnpew,4,10.78%,"asin=\""B010OVNPEW\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,39,30997,0.1300%,$69.86,$1.7913,6,$95.7,73.0000%,1.37,15.3800%
"May 9, 2022","Jun 7, 2022",wood plant stand,12,1.74%,wood plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,11,1539,0.7100%,$11.33,$1.03,1,$39.95,28.3600%,3.53,9.0900%
"May 9, 2022","Jun 7, 2022",wood plant stand,12,1.74%,wood plant stands,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,2,17,11.7600%,$2.14,$1.07,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",wood plant stand,12,1.74%,wood plant stands,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,123,29076,0.4200%,$51.6,$0.41950000000000004,10,$324.35,15.9100%,6.29,8.1300%
"May 9, 2022","Jun 7, 2022",b07x5wxg5b,1,16.31%,"asin=\""B07X5WXG5B\""",-,Plant Stands (Adjustable),Plant Stands - ASIN - Competitors,Plant Stands - ASIN - Competitors,USD,34,28806,0.1200%,$34.38,$1.0112,3,$119.85,28.6900%,3.49,8.8200%
"May 9, 2022","Jun 7, 2022",instant pot accessories,26,1.06%,instant pot accessory,EXACT,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - KW - Main,Silicone Egg Bite Molds - SP - KW - Main - KW Exact,USD,1,35,2.8600%,$0.14,$0.14,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instant pot accessories,26,1.06%,instant pots accessories,EXACT,IP Lid,IP Lids 8 QT - SP - KW - Main,IP Lids 8 QT - SP - KW - Main - KW Exact - Set 1,USD,119,27985,0.4300%,$103.81,$0.8724,7,$125.91,82.4500%,1.21,5.8800%
"May 9, 2022","Jun 7, 2022",instant pot accessories,26,1.06%,instant pots accessories,EXACT,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Exact - Set 1,USD,1,4,25.0000%,$0.23,$0.23,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instant pot accessories,26,1.06%,instant pot accessories,EXACT,IP Sealing Ring,IP Sealing Ring 3 QT - SP - KW - Main,IP Sealing Ring 3 QT - SP - KW - Main - KW Exact,USD,2,348,0.5700%,$0.48,$0.24,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",instant pot accessories,26,1.06%,instant pot accessories,EXACT,Silicone Steamer Basket,Silicone Steamer Basket - SP - KW - Main,Silicone Steamer Basket - SP - KW - Main - KW Exact,USD,4,225,1.7800%,$0.31,$0.0775,1,$18.95,1.6400%,61.13,25.0000%
"May 9, 2022","Jun 7, 2022",instant pot sealing ring 8 qt,1,83.89%,instant pot sealing ring 8 qt,EXACT,IP Sealing Ring,IP Sealing Ring 8 QT - SP - KW - Main,IP Sealing Ring 8 QT - SP - KW - Main - KW Exact - Set 1,USD,117,27083,0.4300%,$107.38,$0.9178000000000001,29,$521.35,20.6000%,4.86,24.7900%
"May 9, 2022","Jun 7, 2022",plant stand,135,0.10%,plant stands,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,17,2260,0.7500%,$7.7,$0.45289999999999997,1,$24.95,30.8600%,3.24,5.8800%
"May 9, 2022","Jun 7, 2022",plant stand,135,0.10%,plant stands,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,143,24279,0.5900%,$125.16,$0.8752,9,$359.55,34.8100%,2.87,6.2900%
"May 9, 2022","Jun 7, 2022",b07bqzvv6y,1,39.78%,"asin=\""B07BQZVV6Y\""",-,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - Prod - Comp,Silicone Egg Bite Molds  - SP - Prod - Comp - ASIN Comp - No Sling 1 Pack,USD,62,25951,0.2400%,$64.47,$1.0398,10,$232.54,27.7200%,3.61,16.1300%
"May 9, 2022","Jun 7, 2022",b004jp8rti,4,13.42%,"asin=\""B004JP8RTI\""",-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Prod - Comp,Dishwasher Cleaner - SP - Prod - Comp - Direct,USD,33,23616,0.1400%,$53.98,$1.6358000000000001,7,$111.65,48.3500%,2.07,21.2100%
"May 9, 2022","Jun 7, 2022",washer machine cleaner,14,1.11%,washer machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,2484,22951,10.8200%,$5960.87,$2.3997,1044,$15667.93,38.0500%,2.63,42.0300%
"May 9, 2022","Jun 7, 2022",b075mpkb9x,4,8.23%,"asin=\""B075MPKB9X\""",-,Active Detergent,Active Detergent - SP - Prod - Comp,Active Detergent - SP - Prod - Comp - ASIN Comp - Direct,USD,71,22241,0.3200%,$148.48,$2.0913,21,$518.9,28.6100%,3.49,29.5800%
"May 9, 2022","Jun 7, 2022",7 inch springform pan,1,38.95%,7 inch springform pan,EXACT,Cakeware Pans,Cakeware Pans 7 Inch - SP - KW - Main,Cakeware Pans 7 Inch - SP - KW - Main - KW Exact,USD,173,21733,0.8000%,$98.2,$0.5676,67,$929.75,10.5600%,9.47,38.7300%
"May 9, 2022","Jun 7, 2022",affresh washing machine cleaner,12,0.71%,affresh washing machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Comp,Washing Machine Cleaner - SP - KW - Comp - KW Exact,USD,157,21200,0.7400%,$375.16,$2.3896,81,$1252.73,29.9500%,3.34,51.5900%
"May 9, 2022","Jun 7, 2022",b07qm9p521,1,69.05%,"asin=\""B07QM9P521\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,56,19604,0.2900%,$80.9,$1.4446,19,$284.05,28.4800%,3.51,33.9300%
"May 9, 2022","Jun 7, 2022",springform pans,11,3.02%,springform pan,EXACT,Cakeware Pans,Cakeware Pans General - SP - KW - Main,Cakeware Pans General - SP - KW - Main - KW Exact,USD,124,18017,0.6900%,$152.4,$1.229,20,$391.75,38.9000%,2.57,16.1300%
"May 9, 2022","Jun 7, 2022",b08fdzbxx1,1,97.80%,"asin=\""B08FDZBXX1\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,70,17291,0.4000%,$97.86,$1.3980000000000001,16,$248.86,39.3200%,2.54,22.8600%
"May 9, 2022","Jun 7, 2022",b08bmjn33k,1,67.77%,"asin=\""B08BMJN33K\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,49,16972,0.2900%,$67.88,$1.3853,9,$130.96,51.8300%,1.93,18.3700%
"May 9, 2022","Jun 7, 2022",b092mvlp58,1,86.62%,*,-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Auto - TOS,Dishwasher Cleaner - SP - Auto - TOS,USD,2,2,100.0000%,$0.38,$0.19,1,$15.95,2.3800%,41.97,50.0000%
"May 9, 2022","Jun 7, 2022",b092mvlp58,1,86.62%,"asin=\""B092MVLP58\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,52,15319,0.3400%,$71.77,$1.3802,20,$291.03,24.6600%,4.06,38.4600%
"May 9, 2022","Jun 7, 2022",b07g418rsl,1,17.30%,"asin=\""B07G418RSL\""",-,Silicone Bakeware Sling,Silicone Bakeware Sling - SP - Prod - Comp,Silicone Bakeware Sling - SP - Prod - Comp - ASIN Comp - Silicone Slings,USD,15,15059,0.1000%,$10.09,$0.6727,1,$13.95,72.3300%,1.38,6.6700%
"May 9, 2022","Jun 7, 2022",mini springform pan,2,20.35%,mini springform pans,EXACT,Cakeware Pans,Cakeware Pans 4 Inch - SP - KW - Main,Cakeware Pans 4 Inch - SP - KW - Main - KW Exact,USD,83,14896,0.5600%,$100.99,$1.2167000000000001,17,$319.3,31.6300%,3.16,20.4800%
"May 9, 2022","Jun 7, 2022",adjustable plant stand,7,5.55%,adjustable plant stand,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,50,14255,0.3500%,$87.42,$1.7484,7,$359.55,24.3100%,4.11,14.0000%
"May 9, 2022","Jun 7, 2022",b008bkq2z8,1,55.30%,"asin=\""B008BKQ2Z8\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,18,13959,0.1300%,$23.4,$1.3,4,$57.81,40.4800%,2.47,22.2200%
"May 9, 2022","Jun 7, 2022",b008bkq2z8,1,55.30%,*,-,Dishwasher Cleaner,Dishwasher Cleaner - SP - Auto - TOS,Dishwasher Cleaner - SP - Auto - TOS,USD,1,1,100.0000%,$0.2,$0.2,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",b09bdtfcpr,1,92.34%,"asin=\""B09BDTFCPR\""",-,Washing Machine Cleaner,Washing Machine Cleaner - SP - Prod - Comp,Washing Machine Cleaner - SP - Prod - Comp - ASIN Comp - Direct,USD,22,12822,0.1700%,$32.72,$1.4872999999999998,4,$59.8,54.7200%,1.83,18.1800%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner and deodorizer,10,1.35%,dishwasher cleaner and deodorizer,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,335,6360,5.2700%,$846.84,$2.5279,183,$2921.6,28.9900%,3.45,54.6300%
"May 9, 2022","Jun 7, 2022",dishwasher cleaner and deodorizer,10,1.35%,dishwasher cleaner deodorizer,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Main,Dishwasher Cleaner - SP - KW - Main - KW Exact,USD,340,6446,5.2700%,$725.68,$2.1344,185,$2942.82,24.6600%,4.06,54.4100%
"May 9, 2022","Jun 7, 2022",affresh dishwasher cleaner,13,0.87%,affresh dishwasher cleaner,EXACT,Dishwasher Cleaner,Dishwasher Cleaner - SP - KW - Comp,Dishwasher Cleaner - SP - KW - Comp - KW Exact,USD,54,12494,0.4300%,$101.03,$1.8709,29,$457.3,22.0900%,4.53,53.7000%
"May 9, 2022","Jun 7, 2022",instapot accessories 6qt,1,46.28%,6qt instapot accessories,BROAD,IP Lid,IP Lids 6 QT - SP - KW - Main,IP Lids 6 QT - SP - KW - Main - KW Broad,USD,70,11831,0.5900%,$29.35,$0.4193,10,$139.9,20.9800%,4.77,14.2900%
"May 9, 2022","Jun 7, 2022",b00q88jxlk,2,39.74%,"asin=\""B00Q88JXLK\""",-,Active Detergent,Active Detergent - SP - Prod - Comp,Active Detergent - SP - Prod - Comp - ASIN Comp - Direct,USD,27,11576,0.2300%,$67.06,$2.4837000000000002,4,$99.8,67.1900%,1.49,14.8100%
"May 9, 2022","Jun 7, 2022",b07twksp1b,3,18.21%,"asin=\""B07TWKSP1B\""",-,No Portfolio,Silicone Steamer Basket - SP - Prod - Comp,Silicone Steamer Basket - SP - Prod - Comp - ASIN Comp - Direct Silicone Steamers,USD,40,11484,0.3500%,$31.5,$0.7875,6,$113.7,27.7000%,3.61,15.0000%
"May 9, 2022","Jun 7, 2022",b00flywnyq,35,0.59%,"asin=\""B00FLYWNYQ\""",-,IP Lid,IP Lids 6 QT - ASIN - Instant Pots,IP Lids 6 QT - ASIN - Instant Pots,USD,13,11405,0.1100%,$14.93,$1.1484999999999999,0,$0.0,,0.00,0.0000%
"May 9, 2022","Jun 7, 2022",active wear detergent,1,35.38%,active wear detergent,EXACT,Active Detergent,Active Detergent - SP - KW - Main,Active Detergent - SP - KW - Main - KW Exact - Set 1,USD,83,11351,0.7300%,$193.26,$2.3284000000000002,20,$488.7,39.5500%,2.53,24.1000%
"May 9, 2022","Jun 7, 2022",fox and fern plant stand,2,26.82%,fox and fern plant stands,EXACT,Plant Stands (Adjustable),Plant Stands - Competitors - KW - Targeted,Plant Stands - Competitors - KW - Targeted (Exact),USD,14,10611,0.1300%,$10.05,$0.7179000000000001,2,$79.9,12.5800%,7.95,14.2900%
"May 9, 2022","Jun 7, 2022",active washing machine cleaner,6,4.43%,active washing machine cleaner,EXACT,Washing Machine Cleaner,Washing Machine Cleaner - SP - KW - Main,Washing Machine Cleaner - SP - KW - Main - KW Exact - Set 1,USD,3470,10564,32.8500%,$1499.77,$0.4322,1338,$19703.25,7.6100%,13.14,38.5600%
"May 9, 2022","Jun 7, 2022",springform pan 9 inch nonstick,8,3.39%,springform pan 9 inch nonstick,EXACT,Cakeware Pans,Cakeware Pans 9 Inch - SP - KW - Main,Cakeware Pans 9 Inch - SP - KW - Main - KW Exact,USD,37,10480,0.3500%,$49.29,$1.3322,5,$70.25,70.1600%,1.43,13.5100%
"May 9, 2022","Jun 7, 2022",b07qws59lk,1,67.87%,"asin=\""B07QWS59LK\""",-,Silicone Egg Bite Molds,Silicone Egg Bite Molds - SP - Prod - Comp,Silicone Egg Bite Molds - SP - Prod - Comp - ASIN Comp - 2 Pack Sling Set,USD,71,10458,0.6800%,$58.42,$0.8228,9,$259.5,22.5100%,4.44,12.6800%
"May 9, 2022","Jun 7, 2022",indoor plant stand,81,0.25%,indoor plant stands,EXACT,Plant Stands (Adjustable),Plant Stands - KW - Targeted,Plant Stand- KW - Targeted (Exact),USD,108,8964,1.2000%,$130.04,$1.2041,6,$279.65,46.5000%,2.15,5.5600%
"May 9, 2022","Jun 7, 2022",indoor plant stand,81,0.25%,indoor plant stands,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,21,1317,1.5900%,$5.92,$0.28190000000000004,3,$99.8,5.9300%,16.86,14.2900%
"May 9, 2022","Jun 7, 2022",indoor plant stand,81,0.25%,indoor plant stand,EXACT,Arch Plant Stand,Arch Plant Stand - SP - KW - Main,Arch Plant Stand - SP - KW - Main - KW Exact,USD,2,45,4.4400%,$3.0,$1.5,0,$0.0,,0.00,0.0000%
